     Time_Now  Buffer_Level 
      2.10176             0
      2.11942             3
       2.1707             0
      5.90653             3
      6.34712             0
      11.5359             3
      12.8737             0
      18.4194             3
      21.9365             0
      27.8366             3
      27.8879       1.92068
      28.9159       4.92068
      28.9672       4.07685
      29.7598       7.07685
      29.8319       6.37924
      30.4574       9.37924
      30.6576       8.35316
      31.4835       11.3532
      31.6842       10.5214
      32.3152       13.5214
      32.8439       11.2457
       34.591       14.2457
       34.822       10.9327
      37.9039       13.9327
      38.3327       12.9704
      38.8662       15.9704
      39.2471       15.2622
      39.5744       18.2622
      39.9259        17.524
      40.3126        20.524
      40.5577       19.5955
      41.2411       22.5955
      41.5345       21.5584
      42.2783       24.5584
      42.7583       23.2801
      43.5565       26.2801
      44.0232       24.9054
      44.9312       27.9054
      45.4619       24.5472
      48.2894       27.5472
      49.8513       22.8779
      52.9587       25.8779
      53.0768       23.4228
      55.4138       26.4228
      55.9237       21.3788
      60.4578       24.3788
      61.0757       21.9227
      62.9139       24.9227
      63.5915       23.2264
      64.6102       26.2264
      65.8919       23.9011
      66.9356       26.9011
       67.166       25.7223
      68.1143       28.7223
       69.708        26.206
      70.6306        29.206
      71.6409       27.1244
      72.7123       30.1244
      72.9125       28.7297
       74.107       31.7297
      74.5876       30.6083
      75.2283       33.6083
      75.5214       32.5957
      76.2409       35.5957
      76.7989       34.1815
      77.6551       37.1815
      78.2226       36.2356
       78.601       39.2356
      79.6101       37.5768
      80.2598       40.5768
      81.4804        39.032
      81.8046        42.032
       83.245       40.1826
       83.654       43.1826
      83.7053       42.7225
      84.1141       45.7225
      84.1654       45.2448
      84.5919       48.2448
      84.6431       47.7873
      85.0493       50.7873
      85.1006       50.2585
      85.5782       53.2585
      85.6294       52.7445
      86.0921       55.7445
      86.1434        55.155
      86.6817        58.155
      86.7329       57.6162
      87.2205       60.6162
      87.9079       59.6473
      88.1893       62.6473
      91.1502       59.3051
      91.5315       62.3051
      94.1388       59.2724
      94.5642       62.2724
      97.1127       59.3524
      97.4842       62.3524
      99.8879       59.5037
      100.333       62.5037
      102.888       59.6589
      103.178       62.6589
      105.888       59.7159
      106.121       62.7159
      108.888       59.8825
      108.954       62.8825
      111.888       59.3931
      112.444       62.3931
      114.888        58.834
      116.003        61.834
      117.888       58.6365
        119.2       61.6365
      121.191       57.6567
       123.18       60.6567
      124.579       51.9372
      131.899       54.9372
      133.427        50.909
      135.928        53.909
