    WinStart       WinEnd Samples_Number      Min      Max       Mean
        59.5        59.85        0        0        0          0
       59.85         60.2        0        0        0          0
        60.2        60.55        0        0        0          0
       60.55         60.9        0        0        0          0
        60.9        61.25        0        0        0          0
       61.25         61.6        0        0        0          0
        61.6        61.95        0        0        0          0
       61.95         62.3        6       31       77         54
        62.3        62.65       37       86      391     247.27
       62.65           63       38      191      367    291.421
          63        63.35       29       76      209    161.448
       63.35         63.7       29       52       64    52.8276
        63.7        64.05       25       34      119      65.08
       64.05         64.4       22      123      443    278.773
        64.4        64.75       22      121      454    283.864
       64.75         65.1       22       41      105    44.6818
        65.1        65.45       22       41       41         41
       65.45         65.8       20       37      119         60
        65.8        66.15       25      119      245     186.84
       66.15         66.5       25       33      159     104.04
        66.5        66.85       13       33      104    43.9231
       66.85         67.2       24       33      278    145.958
        67.2        67.55       30      290      569    445.367
       67.55         67.9       30       95      525      308.5
        67.9        68.25       29       32       81    47.4828
       68.25         68.6       36       48      227      168.5
        68.6        68.95       34       32      208    169.118
       68.95         69.3       35       31      128    57.2857
        69.3        69.65       31       31      220    95.2258
       69.65           70       37      230      433     362.73
          70        70.35       38      109      458    388.974
       70.35         70.7        3       39       83         54
        70.7        71.05       20       34      249      126.5
       71.05         71.4       16      276      603      456.5
        71.4        71.75       18       70      565    357.167
       71.75         72.1       13       34       78    57.8462
        72.1        72.45       15       45      180    132.733
       72.45         72.8       18       34      143    81.2778
        72.8        73.15       12       45       90      52.75
       73.15         73.5       11       37      154    73.4545
        73.5        73.85       25      142      257     200.32
       73.85         74.2       32       32      154    100.656
        74.2        74.55       28       32       50    33.9286
       74.55         74.9       28       32      298    172.179
        74.9        75.25       24       77      255      181.5
       75.25         75.6       22       32       68    42.2273
        75.6        75.95       20       41       59      48.65
       75.95         76.3       18       41      147    72.3333
        76.3        76.65       24      123      219    167.208
       76.65           77       17       31      152    79.1176
          77        77.35       13       31       46    34.5385
       77.35         77.7       37       31      360    195.568
        77.7        78.05       39      188      434    345.641
       78.05         78.4       40       40      211     92.475
        78.4        78.75       39       40       40         40
       78.75         79.1       35       30       81    43.2286
        79.1        79.45       37       30      206    97.4054
       79.45         79.8       41       46      114    69.7073
        79.8        80.15       32       30       98    50.0625
       80.15         80.5       19       39       98    65.1053
        80.5        80.85       21       47       81    59.1905
       80.85         81.2       14       64      173    88.9286
        81.2        81.55        9      139      179    165.667
       81.55         81.9        8       62      142      96.25
        81.9        82.25       14       62      165    93.2143
       82.25         82.6       16       62      104      88.25
        82.6        82.95       12       83      167      114.5
       82.95         83.3        5      142      219        179
        83.3        83.65        3       62      142    88.6667
       83.65           84        3      139      179    152.333
          84        84.35       24       30      259      51.25
       84.35         84.7       25       30       75      42.04
        84.7        85.05       34       30       67    39.9412
       85.05         85.4       34       31       42    35.0882
        85.4        85.75       32       25       75     38.125
       85.75         86.1       33       31       49    36.0606
        86.1        86.45       31       35       46    40.6774
       86.45         86.8       31       35       46    40.3226
        86.8        87.15       32       32       46    39.1562
       87.15         87.5       35       32       51       40.8
        87.5        87.85       36       38       57    48.3056
       87.85         88.2       34       30      109    54.1471
        88.2        88.55       39       30       47    34.7692
       88.55         88.9       41       37       54    44.0488
        88.9        89.25       32       45       98    67.3125
       89.25         89.6       25       35       85       50.8
