    WinStart       WinEnd Samples_Number      Min      Max       Mean
       64.75         65.1       11       73      121    90.4545
        65.1        65.45       12       57      104    85.4167
       65.45         65.8       12       57      104    76.3333
        65.8        66.15       13       49      119    81.5385
       66.15         66.5       18       37       73    49.6667
        66.5        66.85       15       37       85       57.8
       66.85         67.2       15       48       73    60.4667
        67.2        67.55       18       37       83    54.6667
       67.55         67.9       13       37      106    61.9231
        67.9        68.25       16       33       83      53.75
       68.25         68.6       18       48       78         63
        68.6        68.95       18       58       78         68
       68.95         69.3       18       54       78    64.7222
        69.3        69.65       18       54       73       63.5
       69.65           70       19       54       73         64
          70        70.35       20       48       71       57.4
       70.35         70.7       19       42       65    55.7368
        70.7        71.05       21       30       82         47
       71.05         71.4       12       44      109    84.0833
        71.4        71.75       13       35       74    52.1538
       71.75         72.1       15       44      109    65.9333
        72.1        72.45       13       34       68    54.3077
       72.45         72.8       13       46       79         57
        72.8        73.15       16       46       72     57.875
       73.15         73.5       15       49       72    59.7333
        73.5        73.85       15       49       72    61.2667
       73.85         74.2       16       40       72    55.4375
        74.2        74.55       15       45       97    59.4667
       74.55         74.9       16       50       71    55.6875
        74.9        75.25       21       31       60    46.5714
       75.25         75.6       21       32       68    47.7619
        75.6        75.95       18       41       86         62
       75.95         76.3       15       41       73       51.8
        76.3        76.65       23       36       75    48.2609
       76.65           77       16       36       94    66.8125
          77        77.35       16       31       70    46.6875
       77.35         77.7       23       33       70     45.913
        77.7        78.05       19       42       88    63.6842
       78.05         78.4       18       31       67         44
        78.4        78.75       23       31       67     45.087
       78.75         79.1       18       40       84    58.5556
        79.1        79.45       18       30       71    41.3889
       79.45         79.8       21       30       71    50.9048
        79.8        80.15       22       30       89    51.1818
       80.15         80.5        8       64      149        116
        80.5        80.85        4       64       64         64
       80.85         81.2        8       47      142     84.625
        81.2        81.55        7      139      219    161.857
       81.55         81.9        5      139      259        195
        81.9        82.25        3       83      119         95
       82.25         82.6        8       83      146    101.375
        82.6        82.95        9       83      146    108.667
       82.95         83.3        5       83      222      162.4
        83.3        83.65        4      139      219        159
       83.65           84        5       62      139       84.8
          84        84.35       18       30      195    46.1667
       84.35         84.7       20       35       43         39
        84.7        85.05       22       35       46    39.2273
       85.05         85.4       20       39       49       44.4
        85.4        85.75       19       40       49    44.2632
       85.75         86.1       17       39       67    47.7059
        86.1        86.45       16       46       80     58.125
       86.45         86.8       15       46       69    58.2667
        86.8        87.15       17       46       91    66.4118
       87.15         87.5       17       57       97    71.1176
        87.5        87.85       17       32       77    49.6471
       87.85         88.2       20       45       77      53.75
        88.2        88.55       21       45       79    59.7143
       88.55         88.9       17       30       62    42.5882
        88.9        89.25       16       37      111    59.5625
       89.25         89.6       14       35       85    60.7143
        89.6        89.95       12       35       98         58
       89.95         90.3       18       35       85    52.6667
        90.3        90.65       17       31       90    52.2941
       90.65           91       19       31       54    47.6316
          91        91.35       15       45       67       55.4
       91.35         91.7       16       45       67         56
        91.7        92.05       15       45       67    56.7333
       92.05         92.4        9       62      134        105
        92.4        92.75        9       95      173    125.333
       92.75         93.1       11       31      134    79.8182
        93.1        93.45       17       41       59    49.1765
       93.45         93.8       18       44       92    62.3889
        93.8        94.15       16       54      115    72.3125
       94.15         94.5       10       45      144       96.1
        94.5        94.85       10       45      111       69.5
       94.85         95.2       14       46      112    83.9286
        95.2        95.55       17       33       68    45.0588
       95.55         95.9       16       40       79      55.25
        95.9        96.25       12       39      129    72.3333
       96.25         96.6       14       33       71    48.7857
        96.6        96.95       15       48       95       66.6
       96.95         97.3       13       42       80    61.5385
        97.3        97.65       15       34       92    54.3333
       97.65           98       14       54      105       72.5
          98        98.35       13       34       79    44.5385
       98.35         98.7       15       50       97    63.8667
        98.7        99.05       14       34       97    61.7857
       99.05         99.4       13       34       91    51.5385
        99.4        99.75       13       41       95    67.8462
       99.75        100.1       14       32      140    68.0714
       100.1       100.45       16       32       54         42
      100.45        100.8       17       53       96    66.2941
       100.8       101.15       18       47       85    69.0556
      101.15        101.5       21       47       64    55.9048
       101.5       101.85       20       47       64       55.5
      101.85        102.2       17       47      112    66.8235
       102.2       102.55       13       35       85    59.1538
      102.55        102.9       12       35       99      64.25
       102.9       103.25       13       61      133    88.4615
      103.25        103.6       13       35       75    54.0769
       103.6       103.95       12       61      102    76.8333
      103.95        104.3        6       61      246    136.333
       104.3       104.65        5       62      219      116.8
      104.65          105        4      139      259        179
         105       105.35        9       66      196    89.4444
      105.35        105.7       13       48      119    68.6923
       105.7       106.05       13       48      136    72.6923
      106.05        106.4       16       46       80    58.3125
       106.4       106.75       16       35       69    54.6875
      106.75        107.1       16       35       80    54.6875
       107.1       107.45       14       35       80    55.2857
      107.45        107.8       17       35      102    58.7059
       107.8       108.15       18       35       84    48.2222
      108.15        108.5       15       49       96    66.4667
       108.5       108.85       13       33       73    54.2308
      108.85        109.2       10       33      138       71.4
       109.2       109.55        9       46      113    79.4444
      109.55        109.9        8       68      113       90.5
       109.9       110.25        8       58      113       83.5
      110.25        110.6        9       58       78    66.8889
       110.6       110.95        9       58       78    69.1111
      110.95        111.3       12       31       78      42.25
       111.3       111.65       14       31       41         36
      111.65          112       12       28       53      37.25
         112       112.35       16       31       78     48.375
      112.35        112.7       16       45       89     62.875
       112.7       113.05       14       33       67       43.5
      113.05        113.4       16       43       64     56.375
       113.4       113.75       17       54       97    76.3529
      113.75        114.1       15       64      100    77.1333
       114.1       114.45       11       40      119    82.4545
      114.45        114.8       12       37      118    70.5833
       114.8       115.15       16       41      118     74.125
      115.15        115.5       25       29       77         40
       115.5       115.85       24       34       41       37.5
      115.85        116.2       20       34       90      47.15
       116.2       116.55       13       34       68    53.1538
      116.55        116.9       15       46       79         57
       116.9       117.25       15       46       92       66.6
      117.25        117.6        2       27       33         30
       117.6       117.95        0        0        0          0
      117.95        118.3        0        0        0          0
       118.3       118.65        0        0        0          0
      118.65          119        0        0        0          0
         119       119.35        0        0        0          0
      119.35        119.7        0        0        0          0
       119.7       120.05        0        0        0          0
      120.05        120.4        3       51      101         72
       120.4       120.75       14       34      128    77.6429
      120.75        121.1       10       34      103       59.3
       121.1       121.45       17       30       55    42.1765
      121.45        121.8       21       46       63         51
       121.8       122.15       20       30       79       57.9
      122.15        122.5       19       30       47    38.5263
       122.5       122.85       18       31       80    51.8333
      122.85        123.2       14       47      139    85.2143
       123.2       123.55        6       42       82       61.5
      123.55        123.9        8       59      139         94
       123.9       124.25        8       99      180     131.25
      124.25        124.6        9       62      146    99.3333
       124.6       124.95        8       62      146     96.125
      124.95        125.3        5      104      222      166.6
       125.3       125.65        4      139      219        159
      125.65          126        5       62      102         70
         126       126.35        7       77      182    122.143
      126.35        126.7        6       77      176      118.5
       126.7       127.05        7       34       77    54.1429
      127.05        127.4       16       28       45      33.25
       127.4       127.75       24       28       45    31.4583
      127.75        128.1       24       28       33       30.5
       128.1       128.45       28       28       33       30.5
      128.45        128.8       24       28       33       30.5
       128.8       129.15       17       28       39    31.9412
      129.15        129.5        0        0        0          0
       129.5       129.85        0        0        0          0
      129.85        130.2        0        0        0          0
       130.2       130.55        8       45     1305     657.75
      130.55        130.9        0        0        0          0
       130.9       131.25        0        0        0          0
      131.25        131.6        0        0        0          0
       131.6       131.95        0        0        0          0
      131.95        132.3        0        0        0          0
       132.3       132.65        0        0        0          0
      132.65          133        0        0        0          0
         133       133.35        0        0        0          0
      133.35        133.7        7       45       83    56.5714
       133.7       134.05       18       34       75    45.8333
      134.05        134.4       23       30       60    45.3913
       134.4       134.75       21       38      113    59.9524
      134.75        135.1       16       29       60    42.6875
       135.1       135.45       20       31       79       50.3
      135.45        135.8        6       54       73    63.1667
       135.8       136.15        0        0        0          0
      136.15        136.5        0        0        0          0
       136.5       136.85        0        0        0          0
      136.85        137.2        0        0        0          0
       137.2       137.55        0        0        0          0
      137.55        137.9        0        0        0          0
       137.9       138.25        0        0        0          0
      138.25        138.6        0        0        0          0
       138.6       138.95       18       33      138    89.2778
      138.95        139.3       26       28       48    35.9615
       139.3       139.65       12       32       40    36.8333
      139.65          140        0        0        0          0
         140       140.35        0        0        0          0
      140.35        140.7        0        0        0          0
       140.7       141.05        0        0        0          0
      141.05        141.4        0        0        0          0
       141.4       141.75        0        0        0          0
      141.75        142.1        0        0        0          0
       142.1       142.45        0        0        0          0
      142.45        142.8       20       30      117         73
       142.8       143.15       22       30      112    52.8182
      143.15        143.5       13       31      109    67.7692
       143.5       143.85       20       33       76       45.2
      143.85        144.2       10       44      109       71.5
       144.2       144.55        5      139      219        171
      144.55        144.9        6       99      219    152.333
       144.9       145.25        7       60      139         90
      145.25        145.6        7       62      104         83
       145.6       145.95        1       77       77         77
      145.95        146.3        0        0        0          0
       146.3       146.65        0        0        0          0
      146.65          147        0        0        0          0
         147       147.35        0        0        0          0
      147.35        147.7        0        0        0          0
       147.7       148.05        0        0        0          0
      148.05        148.4        0        0        0          0
       148.4       148.75        2       71       89         80
      148.75        149.1        9       68      202    115.222
       149.1       149.45        3      139      219    189.333
