Time	VideoShare	AudioShare	VideoMbps	AudioMbps
241	0.916667	0.0833333	0.132	0.012
242	1	0	0.324	0
243	0.5	0.5	0.012	0.012
244	1	0	0.18	0
245	0.215891	0.784109	0.006608	0.024
246	0.934783	0.0652174	0.516	0.036
247	1	0	0.26336	0
248	0	1	0	0.048
250	0.885119	0.114881	0.554736	0.072
253	0.904665	0.0953349	0.683232	0.072
254	0	1	0	0.036
256	0.455417	0.544583	2.76971	3.312
257	0.470372	0.529628	1.89555	2.13434
258	0.762087	0.237913	3.17213	0.990296
259	0.420443	0.579557	2.388	3.29173
260	0.670488	0.329512	4.27002	2.0985
261	0	1	0	1.656
262	0.973011	0.0269889	2.712	0.075224
263	0.360402	0.639598	2.892	5.13237
264	1	0	0.24	0
265	0	1	0	0.096
266	0.00704225	0.992958	0.012	1.692
267	0	1	0	0.260368
268	0.438979	0.561021	1.58211	2.02196
270	0.639153	0.360847	1.33907	0.756
271	0.666931	0.333069	3.828	1.91172
272	1	0	0.60592	0
273	1	0	0.12	0
274	0.467241	0.532759	1.58992	1.81286
275	1	0	1.452	0
276	0.456399	0.543601	1.248	1.48645
277	1	0	0.17688	0
278	0.353964	0.646036	2.46555	4.5
279	0	1	0	1.61043
280	0.8	0.2	1.728	0.432
281	0.916667	0.0833333	0.528	0.048
282	1	0	0.209552	0
285	0	1	0	0.012
289	1	0	0.012	0
293	0.5	0.5	0.012	0.012
299	0	1	0	0.012
300	1	0	0.012	0
301	0	1	0	0.012
305	0	1	0	0.012
312	1	0	0.012	0
313	0	1	0	0.012
314	1	0	0.012	0
315	0.384615	0.615385	0.06	0.096
316	0.628053	0.371947	0.144	0.08528
317	0.481481	0.518519	0.156	0.168
318	0.538462	0.461538	0.168	0.144
319	0.32	0.68	0.096	0.204
320	0.255952	0.744048	0.024768	0.072
321	0.554488	0.445512	2.58488	2.07686
322	0.456204	0.543796	3.47784	4.14558
323	0.534013	0.465987	2.04875	1.78777
324	0.497559	0.502441	3.648	3.6838
325	0.31307	0.68693	0.918704	2.0158
326	0.728992	0.271008	4.164	1.548
327	0.979879	0.0201207	0.5844	0.012
328	0.379888	0.620112	0.816	1.332
329	0.632258	0.367742	0.96	0.558368
330	0	1	0	0.012
331	0.0335961	0.966404	0.024	0.690368
332	0.512397	0.487603	1.488	1.416
333	0.870416	0.129584	2.52	0.375168
334	0.594635	0.405365	0.668912	0.456
335	0.746032	0.253968	2.41381	0.82172
336	0.447828	0.552172	0.642336	0.792
337	0.75788	0.24212	2.08107	0.66484
338	0.473505	0.526495	0.624	0.693832
339	0.67446	0.32554	1.1821	0.57056
340	0.571447	0.428553	1.80512	1.35374
341	0.297484	0.702516	1.224	2.8905
342	0.984293	0.0157068	2.256	0.036
343	0.230749	0.769251	0.136336	0.454504
344	0.712871	0.287129	0.864	0.348
345	0.553264	0.446736	1.14434	0.924
346	0.947368	0.0526316	0.432	0.024
347	0.96	0.04	0.288	0.012
348	1	0	0.324	0
349	1	0	0.288	0
350	0.62963	0.37037	0.204	0.12
351	0	1	0	0.216
352	0	1	0	0.24
353	0	1	0	0.312
354	0.576923	0.423077	0.18	0.132
355	0.913043	0.0869565	0.252	0.024
356	0.96	0.04	0.288	0.012
357	1	0	0.288	0
358	1	0	0.288	0
359	0.964286	0.0357143	0.324	0.012
360	1	0	0.288	0
361	1	0	0.288	0
362	1	0	0.108	0
364	0	1	0	0.012
366	0	1	0	0.192
367	0.6	0.4	0.18	0.12
368	0.32675	0.67325	0.011648	0.024
370	0	1	0	0.012
372	0	1	0	0.012
378	0	1	0	0.012
380	0	1	0	0.06
381	0.893238	0.106762	0.3012	0.036
382	0	1	0	0.024
383	1	0	0.4912	0
384	0	1	0	0.072
386	0.385691	0.614309	2.13216	3.396
387	0.508981	0.491019	2.32734	2.24522
388	0.886426	0.113574	4.94902	0.634096
389	0.738283	0.261717	3.5171	1.24679
390	0.923328	0.0766716	5.532	0.459368
391	0.806135	0.193865	2.57821	0.620024
392	1	0	3.192	0
393	0.7317	0.2683	1.776	0.651224
394	0.995169	0.00483092	2.472	0.012
395	0.011078	0.988922	0.012	1.07122
396	1	0	1.38	0
397	0.452357	0.547643	0.439376	0.531928
398	1	0	1.30338	0
