Buffer_Underrun_Started_At         Until 
                    2.5526       3.21999
                     87.22       90.6351
                   93.6351       100.031
                   103.031        109.43
                    112.43       114.434
                   117.434       117.862
                   123.862       124.363
                   127.363       130.567
                   145.567       145.889
                   148.889 
