    WinStart       WinEnd Samples_Number      Min      Max       Mean
       62.65           63       18       52       71       61.5
          63        63.35       17       34      100         60
       63.35         63.7       16       34       88     53.375
        63.7        64.05       16       34       76     59.125
       64.05         64.4       12       57      137    96.5833
        64.4        64.75       11       42      105    57.3636
       64.75         65.1       11       73      105    88.9091
        65.1        65.45       10       57      136       96.1
       65.45         65.8       11       57      104    69.5455
        65.8        66.15       12       49      120    84.9167
       66.15         66.5       12       37       73         59
        66.5        66.85       14       49       85         61
       66.85         67.2       15       37       96    68.3333
        67.2        67.55       12       48       83    55.9167
       67.55         67.9       18       37       71    56.1667
        67.9        68.25       17       32      101    61.4118
       68.25         68.6       17       58       78    66.8235
        68.6        68.95       18       58       78         68
       68.95         69.3       18       54       78    64.9444
        69.3        69.65       19       54       73         63
       69.65           70       18       54       73       63.5
          70        70.35       20       48       73       57.7
       70.35         70.7       22       42       83       58.5
        70.7        71.05       17       33       65    45.7059
       71.05         71.4       15       44      109    67.0667
        71.4        71.75       11       35       74    53.6364
       71.75         72.1       13       47       96    68.6154
        72.1        72.45       18       34       68    46.3333
       72.45         72.8       18       34       79    49.4444
        72.8        73.15       15       46       72    57.1333
       73.15         73.5       15       49       72    61.2667
        73.5        73.85       15       49       72    59.7333
       73.85         74.2       16       47       72     58.375
        74.2        74.55       18       32       81    52.7778
       74.55         74.9       18       60      101    68.3333
        74.9        75.25       15       32      101    60.1333
       75.25         75.6       18       40       68    49.8889
        75.6        75.95       21       32       68         56
       75.95         76.3       22       41       94    61.4545
        76.3        76.65       13       36       84    48.7692
       76.65           77       20       36       75      56.35
          77        77.35       23       31       88    52.6087
       77.35         77.7       15       33       79       50.8
        77.7        78.05       19       41       70    52.4737
       78.05         78.4       22       31       84    50.1364
        78.4        78.75       17       31       75    50.4706
       78.75         79.1       22       30       67    47.2273
        79.1        79.45       23       30       63    43.3478
       79.45         79.8       20       30      106      61.85
        79.8        80.15       11       39       80    57.9091
       80.15         80.5       13       64      132    92.7692
        80.5        80.85       17       64      115         77
       80.85         81.2        5       39      139       94.4
        81.2        81.55        2      139      139        139
       81.55         81.9        4      139      259        179
        81.9        82.25       11       81      259    134.273
       82.25         82.6        9      104      146    122.667
        82.6        82.95        7       83      146         98
       82.95         83.3        6       83      220    155.167
        83.3        83.65        4      139      299        179
       83.65           84        4       62      102         72
          84        84.35       15       30      147    50.6667
       84.35         84.7       23       35       43    38.8261
        84.7        85.05       21       35       45    39.3333
       85.05         85.4       20       40       49       44.5
        85.4        85.75       20       40       49       44.5
       85.75         86.1       19       31       61    44.2105
        86.1        86.45       15       46       89       59.6
       86.45         86.8       16       46       69       57.5
        86.8        87.15       16       46       91    65.3125
       87.15         87.5       18       57       97    71.4444
        87.5        87.85       18       32       77    51.2778
       87.85         88.2       19       40       79    54.0526
        88.2        88.55       21       45       87    59.2381
       88.55         88.9       18       30       62    39.7778
        88.9        89.25       15       37      124    62.3333
       89.25         89.6       12       35       85    59.3333
        89.6        89.95       14       35       98    56.8571
       89.95         90.3       17       45       85    54.7647
        90.3        90.65       19       31       54    45.9474
       90.65           91       16       45       96      55.25
          91        91.35       16       45       78     58.125
       91.35         91.7       16       45       67         56
        91.7        92.05       15       45       67       55.8
       92.05         92.4        9       87      134    110.222
        92.4        92.75        9       95      173        121
       92.75         93.1       10       31      134       78.4
        93.1        93.45       19       31       54    45.6842
       93.45         93.8       19       44       82    62.3158
        93.8        94.15       15       54      108       70.4
       94.15         94.5       11       45      137    90.8182
        94.5        94.85       11       45      127    70.1818
       94.85         95.2       13       46      111    83.4615
        95.2        95.55       12       33       68    54.3333
       95.55         95.9       16       46       79         57
        95.9        96.25       18       33       95    60.7778
       96.25         96.6       15       33       60       45.2
        96.6        96.95       15       48       83    61.0667
       96.95         97.3       15       34       95    64.5333
        97.3        97.65       12       34       92      58.75
       97.65           98       14       54      105    70.6429
          98        98.35       13       34       80    49.6154
       98.35         98.7       15       50       85    60.6667
        98.7        99.05       15       45       97    67.6667
       99.05         99.4       13       34       91    52.2308
        99.4        99.75       16       45       82       63.5
       99.75        100.1       12       32      103       67.5
       100.1       100.45       14       32       64    48.1429
      100.45        100.8       16       53      106     67.125
       100.8       101.15       18       47       85    68.4444
      101.15        101.5       20       47       64       55.5
