     Time_Now  Buffer_Level 
      2.19474             0
      2.19569             3
      2.29494       2.77428
      2.42142       5.77428
      2.51996       5.56473
      2.63096       8.56473
      2.72969       8.36528
      2.83042       11.3653
      2.92895       11.2321
      2.96359       14.2321
      3.06209       14.1031
      3.09257       17.1031
       3.1911       16.9812
      3.21447       19.9812
      3.31297       19.8655
      3.33022       22.8655
      3.42872       22.7311
      3.46458       25.7311
      3.56308       25.6151
      3.58063       28.6151
      3.67954       28.4821
      3.71364       31.4821
      3.81213       31.3659
      3.82983       34.3659
      3.92913       34.2395
      3.95617       37.2395
      4.05467       37.1295
      4.06617       40.1295
       4.1647       40.0175
      4.17814       43.0175
      4.27667       42.8953
      4.30039       45.8953
      4.39931       45.7559
      4.43978       48.7559
      4.53904       48.6042
      4.59146       51.6042
      4.68999       51.4595
      4.73621       54.4595
      4.83471       54.3319
      4.86382       57.3319
      32.2942         29.84
      32.3557         32.84
      35.2942       29.6668
      35.5289       32.6668
      38.2942       29.1776
      39.0181       32.1776
      41.2942       29.7741
      41.4216       32.7741
      44.2942       29.8388
      44.3569       32.8388
      47.2942       29.8442
      47.3515       32.8442
      50.2942       29.6949
      50.5008       32.6949
      53.2942       29.6344
      53.5613       32.6344
      56.2942       29.6949
      56.5008       32.6949
      59.2942       29.5739
      59.6218       32.5739
      62.2942        29.799
      62.3967        32.799
      65.2942       29.6949
      65.5008       32.6949
      68.2942       29.1534
      69.0423       32.1534
      71.2942       29.7428
      71.4529       32.7428
      74.2942       29.5971
      74.5986       32.5971
      77.2942       29.7512
      77.4445       32.7512
      80.2942       29.7429
      80.4528       32.7429
      83.2942       29.6949
      83.5008       32.6949
      86.2942       29.4062
      86.7895       32.4062
      89.2942       29.5971
      89.5986       32.5971
      92.2942       29.5163
      92.6794       32.5163
      95.2942       29.5319
      95.6638       32.5319
      98.2942       29.4962
      98.6995       32.4962
      101.294       29.4866
      101.709       32.4866
      104.294       29.3777
      104.818       32.3777
      107.294        29.286
       107.91        32.286
      110.294        29.247
      110.949        32.247
      113.294       29.2566
      113.939       32.2566
      116.294       29.0171
      117.179       32.0171
      119.294       29.2496
      119.946       32.2496
      122.294       29.5143
      122.681       32.5143
      125.294       29.7544
      125.441       32.7544
      128.294       28.8177
      129.378       31.8177
      131.294       27.5048
      133.691       30.5048
      134.294       28.2104
      135.985       31.2104
      137.294       27.4587
      139.737       30.4587
      140.294       27.7046
      142.491       30.7046
      143.294       27.6399
      145.556       30.6399
      146.294       28.1664
      148.029       31.1664
      149.294        29.023
      150.173        32.023
      152.294       28.0923
      154.103       31.0923
      155.294       27.6939
      157.502       30.6939
      158.294       28.7818
      159.414       31.7818
      161.294       28.8865
      162.309       31.8865
      164.294       28.5074
      165.688       31.5074
      167.294       28.8712
      168.324       31.8712
      170.294       29.0738
      171.122       32.0738
      173.294       29.5045
      173.691       32.5045
      176.294       29.6277
      176.568       32.6277
      179.294       28.2155
       180.98       31.2155
      182.294       27.9848
      184.211       30.9848
      185.294       28.9237
      186.272       31.9237
      188.294       28.3915
      189.804       31.3915
      191.294       29.3741
      191.822       32.3741
      194.294       29.8902
      194.305       32.8902
      197.294       28.9323
      198.263       31.9323
      200.294       27.8167
      202.379       30.8167
      203.294       27.7147
      205.481       30.7147
      206.294       27.8585
      208.337       30.8585
      209.294       27.6318
      211.564       30.6318
      212.294       27.5886
      214.607       30.5886
      215.294       28.3595
      216.836       31.3595
      218.294       28.5047
      219.691       31.5047
      221.294       28.1816
      223.014       31.1816
      224.294       28.5496
      225.646       31.5496
      227.294       28.8057
       228.39       31.8057
      230.294       28.6209
      231.575       31.6209
      233.294       28.2752
      234.921       31.2752
      236.294       28.0729
      238.123       31.0729
      239.294        27.512
      241.684        30.512
      242.294       28.2106
      243.985       31.2106
      245.294       26.9687
      248.227       29.9687
      248.325       27.9955
        250.2       30.9955
      251.294       28.3826
      252.813       31.3826
      254.294       27.0789
      257.117       30.0789
      257.294       27.2146
      259.981       30.2146
      260.294       28.1053
       262.09       31.1053
      263.294       27.7036
      265.492       30.7036
      266.294       28.5708
      267.625       31.5708
      269.294       27.9932
      271.202       30.9932
      272.294       27.5419
      274.654       30.5419
      275.294       28.4042
      276.792       31.4042
      278.294       27.9967
      280.199       30.9967
      281.294       28.9884
      282.207       31.9884
      284.294       28.9516
      285.244       31.9516
      287.294       28.7739
      288.422       31.7739
      290.294       28.2087
      291.987       31.2087
      293.294       28.3761
       294.82       31.3761
      296.294       28.2887
      297.907       31.2887
