     Time_Now  Buffer_Level 
       2.1952             0
      2.19663             3
      2.29597       2.76376
      2.43287       5.76376
      2.53269       5.54747
      2.64916       8.54747
      2.74888        8.3219
      2.87473       11.3219
      2.97369       11.1763
      3.02035       14.1763
      3.12035       14.0017
      3.19491       17.0017
      3.29387       16.8677
      3.32893       19.8677
      3.42785        19.734
      3.46261        22.734
      3.56172       22.5787
      3.61792       25.5787
      3.71684       25.4395
      3.75715       28.4395
      3.85704       28.2884
      3.90819       31.2884
       4.0071        31.163
      4.03364        34.163
       4.1326       34.0379
      4.15874       37.0379
      4.25805       36.9093
      4.28731       39.9093
      4.38627       39.7902
      4.40644       42.7902
       4.5054       42.6557
      4.54097       45.6557
      4.64013        45.504
      4.69261        48.504
      4.79229       48.3389
       4.8577       51.3389
      4.95666       51.1947
      5.00197       54.1947
      5.10089       54.0521
      5.14455       57.0521
      32.2955       29.8019
      32.3947       32.8019
      35.2955       29.6235
      35.5731       32.6235
      38.2955        29.135
      39.0617        32.135
      41.2955       29.7063
      41.4903       32.7063
      44.2955       29.7643
      44.4324       32.7643
      47.2955       29.8152
      47.3815       32.8152
      50.2955       29.6399
      50.5567       32.6399
      53.2955        29.598
      53.5986        32.598
      56.2955       29.6399
      56.5567       32.6399
      59.2955       29.5561
      59.6405       32.5561
      62.2955       29.7521
      62.4445       32.7521
      65.2955       29.6399
      65.5567       32.6399
      68.2955       29.0922
      69.1044       32.0922
      71.2955       29.6678
      71.5289       32.6678
      74.2955       29.5457
       74.651       32.5457
      77.2955       29.7105
      77.4862       32.7105
      80.2956       29.6632
      80.5334       32.6632
      83.2955       29.6399
      83.5567       32.6399
      86.2955       29.3334
      86.8633       32.3334
      89.2955       29.4741
      89.7225       32.4741
      92.2955       29.3543
      92.8423       32.3543
      95.2955       29.3467
      95.8499       32.3467
      98.2955       29.3067
      98.8899       32.3067
      101.296       29.3132
      101.883       32.3132
      104.296       29.2635
      104.933       32.2635
      107.296       29.0735
      108.123       32.0735
      110.296       28.9573
      111.239       31.9573
      113.296       28.9864
       114.21       31.9864
      116.296       28.7063
       117.49       31.7063
      119.296       28.9375
      120.259       31.9375
      122.296       29.3202
      122.876       32.3202
      125.296       29.6399
      125.557       32.6399
      128.296       28.2018
      129.995       31.2018
      131.296        26.741
      134.456        29.741
      134.555       27.2293
      136.967       30.2293
      137.296         26.48
      140.717         29.48
      140.816       26.2642
      143.932       29.2642
      144.031       26.1405
      147.056       29.1405
      147.155       26.6661
      149.531       29.6661
      149.629       28.3957
      150.801       31.3957
      152.296        27.632
      154.565        30.632
      155.296       26.9104
      158.286       29.9104
      158.385       28.2128
      159.984       31.2128
      161.296       28.4001
      162.797       31.4001
      164.296        27.854
      166.343        30.854
      167.296       28.5379
      168.659       31.5379
      170.296       28.8371
       171.36       31.8371
      173.296       29.3666
       173.83       32.3666
      176.296       29.5071
       176.69       32.5071
      179.296       27.5374
      181.659       30.5374
      182.296       27.2819
      184.915       30.2819
      185.296       28.5288
      186.668       31.5288
      188.296       27.8924
      190.304       30.8924
      191.296       29.1843
      192.012       32.1843
      194.296       29.8842
      194.312       32.8842
      197.296        28.514
      198.683        31.514
      200.296       27.0567
       203.14       30.0567
      203.296       26.8983
      206.298       29.8983
      206.397       26.8995
      209.297       29.8995
      209.396       26.6534
      212.543       29.6534
