     Time_Now  Buffer_Level 
      2.19381             0
      2.19381             3
      2.29357       2.57837
      2.61544       5.57837
      2.71524       5.17687
      3.01695       8.17686
      3.11674       7.74146
      3.45236       10.7415
      3.55211       10.4414
      3.75244       13.4414
      3.85223       13.2182
       3.9756       16.2182
      4.07539       16.0632
      4.13066       19.0632
      4.23041       18.8921
       4.3017       21.8921
      4.40764       21.7051
      4.48871       24.7051
      4.58846       24.5085
      4.68533       27.5085
      4.78508       27.2739
      4.91989       30.2739
      5.01968       30.1308
        5.063       33.1308
      5.16279        32.959
      5.23481        35.959
      5.33456       35.8173
      5.37654       38.8173
      5.47633       38.6727
      5.52109       41.6727
      5.62084       41.4821
      5.71169       44.4821
      5.81144       44.3361
      5.85769       47.3361
      5.95748       47.1306
      6.06322       50.1306
      6.16297       49.9271
      6.26667       52.9271
      6.36647       52.7426
      6.45117       55.7426
      6.55096       55.4325
      6.76127       58.4325
      6.86106       57.6848
      7.50897       60.6848
      7.60877       60.3475
      7.84632       63.3475
      7.94611       63.1801
       8.0137       66.1801
      8.11349       65.9286
      8.26525       68.9286
      8.36505       68.6981
      8.49576       71.6981
      8.59551       71.4835
      8.71035       74.4835
       8.8101       74.3221
       8.8717       77.3221
      8.97145       77.1506
      9.04322       80.1506
      9.14298       79.8405
      9.35328       82.8405
      9.45307       82.4134
      9.78038       85.4134
      9.88013       85.0935
      10.1003       88.0935
      10.2001       87.7771
      10.4167       90.7771
      10.5165        90.636
      10.5578        93.636
      10.6576        93.494
      10.6998        96.494
      10.7996       96.3481
      10.8457       99.3481
      10.9455       99.1409
      11.0529       102.141
      11.1526       102.006
      11.1878       105.006
      11.2875       104.865
      11.3292       107.865
       11.429       107.709
      11.4847       110.709
      11.5845       110.572
       11.622       113.572
      11.7217       113.371
      11.8225       116.371
      11.9223       116.196
      11.9976       119.196
      12.0974       119.061
      12.1329       122.061
      12.2327       121.917
      12.2768       124.917
      12.3766        124.78
      12.4136        127.78
      12.5134       127.608
      12.5853       130.608
      12.6851       130.482
      12.7116       133.482
      12.8114        133.33
      12.8642        136.33
       12.964       136.191
      13.0029       139.191
      13.1027       139.075
       13.119       142.075
      13.2187       141.968
      13.2262       144.968
       13.326       144.777
