     Time_Now  Buffer_Level 
      2.19337             0
      2.19385             3
       2.2911       2.79792
      2.39593       5.79792
      2.49317       5.59757
      2.59627       8.59757
      2.69354       8.47518
      2.71867       11.4752
      2.81593       11.3628
      2.83108       14.3628
      2.92833       14.2503
      2.94357       17.2503
      3.04083       17.1413
      3.05252       20.1413
      3.14977       20.0355
       3.1584       23.0355
      3.25564       22.9271
      3.26677       25.9271
      3.36402       25.8211
      3.37279       28.8211
      3.47004       28.7136
      3.48028       31.7136
      3.57753       31.6075
      3.58638       34.6075
      3.68364       34.5015
      3.69236       37.5015
      3.78961       37.3985
      3.79536       40.3985
      3.89262       40.2945
      3.89934       43.2945
      3.99661       43.1854
      4.00847       46.1854
      4.10572       46.0769
      4.11695       49.0769
      4.21422       48.9666
      4.22721       51.9666
      4.32447       51.8543
      4.33958       54.8543
      4.43683       54.7425
      4.45138       57.7425
