     Time_Now  Buffer_Level 
      2.19611             0
      2.19754             3
      2.29729       2.77777
      2.41978       5.77777
      2.51952       5.56072
      2.63682       8.56072
      2.73662       8.38554
        2.812       11.3855
      2.91179       11.2403
      2.95724       14.2403
      3.05699       14.0948
      3.10271       17.0948
       3.2025         16.96
      3.23757         19.96
      3.33732       19.8344
      3.36319       22.8344
      3.46293       22.7012
       3.4963       25.7012
      3.59605       25.5752
      3.62238       28.5752
      3.72213       28.4447
      3.75285       31.4447
       3.8526       31.3184
      3.87914       34.3184
      3.97893       34.1925
      4.00508       37.1925
      4.10482       37.0755
      4.12207       40.0755
      4.22186       39.9555
      4.24203       42.9555
      4.34182       42.8201
       4.3774       45.8201
      4.47715       45.6867
      4.51086       48.6867
      4.61066       48.5479
      4.64963       51.5479
      4.74943       51.4028
      4.79474       54.4028
      4.89448       54.2594
      4.93815       57.2594
