Time	VideoShare	AudioShare	VideoMbps	AudioMbps
3	0.553786	0.446214	1.70486	1.3737
4	0.4873	0.5127	1.27188	1.33818
5	0.456114	0.543886	1.404	1.67418
6	0.440621	0.559379	1.50389	1.90922
7	0.492131	0.507869	1.62	1.67181
8	1	0	2.5907	0
9	1	0	4.35491	0
10	1	0	2.544	0
11	1	0	2.49255	0
12	0.6434	0.3566	2.412	1.33683
13	0.482164	0.517836	2.16	2.31981
14	0.470598	0.529402	2.30068	2.58816
15	0.663349	0.336651	2.63723	1.3384
16	1	0	2.71518	0
17	1	0	2.952	0
18	0.75675	0.24325	2.09059	0.672
19	0.508621	0.491379	1.416	1.368
20	0.5	0.5	1.608	1.608
21	0.509615	0.490385	0.636	0.612
22	0.5	0.5	0.744	0.744
23	0.488044	0.511956	0.9838	1.032
24	0.512195	0.487805	1.008	0.96
25	0.483333	0.516667	0.696	0.744
26	0.52783	0.47217	0.612	0.547464
27	0.5	0.5	0.624	0.624
28	0.488372	0.511628	0.504	0.528
29	0.501734	0.498266	0.876	0.869944
30	0.513579	0.486421	0.65884	0.624
31	0.501221	0.498779	0.972	0.967264
32	0.476744	0.523256	0.492	0.54
33	0.506024	0.493976	0.504	0.492
34	0.503368	0.496632	0.84	0.82876
35	0.511628	0.488372	0.528	0.504
36	0.494025	0.505975	1.056	1.08154
37	0.495837	0.504163	0.719912	0.732
38	0.502976	0.497024	0.576	0.569184
39	0.604312	0.395688	1.62	1.06074
40	1	0	1.5899	0
41	1	0	1.68458	0
42	1	0	2.4	0
43	1	0	0.5656	0
44	1	0	0.816	0
45	1	0	3.09789	0
46	0.98356	0.0164401	3.58961	0.06
47	0.343794	0.656206	3.67051	7.00598
48	0.811093	0.188907	3.732	0.8692
49	1	0	4.66479	0
50	1	0	6.347	0
51	0.518667	0.481333	5.19816	4.824
52	0.411979	0.588021	4.056	5.78915
53	1	0	5.532	0
54	1	0	5.832	0
55	0.626087	0.373913	0.864	0.516
56	0.341772	0.658228	0.324	0.624
57	0.365591	0.634409	0.408	0.708
58	0.4	0.6	0.456	0.684
59	0.5	0.5	0.216	0.216
60	0.484375	0.515625	0.372	0.396
61	0.304762	0.695238	0.384	0.876
62	0.263158	0.736842	0.42	1.176
63	0.588785	0.411215	0.756	0.528
64	0.453488	0.546512	0.468	0.564
65	0.53125	0.46875	0.408	0.36
66	0.5	0.5	0.384	0.384
67	0.493976	0.506024	0.492	0.504
68	0.477273	0.522727	0.504	0.552
69	0.482301	0.517699	0.592512	0.636
70	0.5	0.5	0.624	0.624
71	0.513242	0.486758	0.72	0.682848
72	0.535466	0.464534	0.48	0.416416
73	0.506469	0.493531	0.492584	0.48
74	0.5	0.5	0.528	0.528
75	0.5	0.5	0.576	0.576
76	0.86242	0.13758	0.948	0.151232
77	1	0	1.2092	0
78	1	0	1.09622	0
79	1	0	1.368	0
80	1	0	1.3483	0
81	1	0	0.744	0
82	1	0	0.3	0
83	1	0	0.552	0
84	0.547047	0.452953	0.217392	0.18
85	0.536493	0.463507	0.732	0.632416
86	0.535344	0.464656	0.744	0.64576
87	0.547619	0.452381	0.552	0.456
88	0.546146	0.453854	0.645496	0.536416
89	0.526256	0.473744	0.744	0.66976
90	0.533663	0.466337	0.504	0.440416
91	0.499541	0.500459	0.622856	0.624
92	0.478261	0.521739	0.528	0.576
93	0.503725	0.496275	0.324	0.319208
94	0.612452	0.387548	0.696	0.440416
95	1	0	0.695032	0
96	1	0	0.972	0
97	1	0	0.976664	0
98	1	0	0.936	0
99	1	0	1.008	0
100	1	0	0.887192	0
101	1	0	1.152	0
102	1	0	1.32407	0
103	1	0	0.9	0
104	1	0	0.855456	0
105	0.551724	0.448276	0.192	0.156
106	0.40625	0.59375	0.312	0.456
107	0.56077	0.43923	0.564	0.44176
108	0.592168	0.407832	0.656904	0.452416
109	0.493827	0.506173	0.48	0.492
110	0.607561	0.392439	0.108	0.06976
111	0.55814	0.44186	0.288	0.228
112	0.506579	0.493421	0.6	0.584416
113	0.511111	0.488889	0.552	0.528
114	0.500995	0.499005	0.564	0.56176
115	0.755891	0.244109	0.50912	0.164416
116	1	0	0.936	0
117	1	0	0.888	0
118	1	0	0.894112	0
119	1	0	1.8	0
120	1	0	0.694736	0
121	1	0	0.624	0
122	1	0	0.948	0
123	0.46539	0.53461	0.696	0.79952
124	0.566038	0.433962	0.36	0.276
125	0.315059	0.684941	0.163944	0.356416
126	0.484848	0.515152	0.192	0.204
127	0.5	0.5	0.228	0.228
128	0.508554	0.491446	0.78	0.75376
129	0.82496	0.17504	0.888	0.188416
130	1	0	0.06	0
131	1	0	0.497776	0
132	1	0	0.864	0
133	1	0	0.912	0
134	1	0	0.929152	0
135	1	0	1.524	0
136	1	0	1.13534	0
137	1	0	1.428	0
138	0.567805	0.432195	0.646376	0.492
139	0.588874	0.411126	0.564	0.39376
140	0.497508	0.502492	0.84	0.848416
141	0.52433	0.47567	0.553088	0.50176
142	0.556642	0.443358	1.02	0.812416
143	0.462185	0.537815	0.66	0.768
144	0.66845	0.33155	0.668872	0.33176
145	1	0	0.324	0
146	0.470588	0.529412	0.288	0.324
147	0.464286	0.535714	0.156	0.18
148	0.688996	0.311004	0.444	0.200416
149	1	0	0.384	0
