    WinStart       WinEnd Samples_Number      Min      Max       Mean
       59.15         59.5       12       37       53    44.8333
        59.5        59.85        9       37       81    59.7778
       59.85         60.2       10       43       68       55.5
        60.2        60.55       11       34       52    46.2727
       60.55         60.9       12       34       52         43
        60.9        61.25       11       39       52    44.6364
       61.25         61.6       11       39       47    43.3636
        61.6        61.95       13       39       55    43.9231
       61.95         62.3       18       39       71    50.5556
        62.3        62.65       29       31       71     42.069
       62.65           63       17       49       99    72.8235
          63        63.35       13       46      100    65.8462
       63.35         63.7       15       34      100    54.2667
        63.7        64.05       11       52       95    63.5455
       64.05         64.4       12       57      105    83.8333
        64.4        64.75       12       57      105    74.3333
       64.75         65.1       11       73      105    87.4545
        65.1        65.45       11       72      104    89.4545
       65.45         65.8       11       72      104    86.5455
        65.8        66.15       13       49      104    80.3846
       66.15         66.5       15       49       73       60.2
        66.5        66.85       15       49       96    69.6667
       66.85         67.2       11       37       73    56.0909
        67.2        67.55       15       48       95    62.7333
       67.55         67.9       15       37       95       57.6
        67.9        68.25       17       38       83    54.2353
       68.25         68.6       16       32      101     61.875
        68.6        68.95       18       58       78         68
       68.95         69.3       18       54       78    64.9444
        69.3        69.65       19       54       73         64
       69.65           70       18       54       73       63.5
          70        70.35       20       48       72      57.65
       70.35         70.7       22       30       65    50.5455
        70.7        71.05       19       48       65    56.2632
       71.05         71.4       13       35      122    84.9231
        71.4        71.75       12       35       70    49.1667
       71.75         72.1       16       40      105    72.5625
        72.1        72.45       15       33       68       52.4
       72.45         72.8       14       33       79    47.3571
        72.8        73.15       15       33       89       57.4
       73.15         73.5       15       49       72    61.2667
        73.5        73.85       15       49       72    59.7333
       73.85         74.2       16       47       72     58.375
        74.2        74.55       17       50       60    55.2941
       74.55         74.9       17       50       60    54.7059
        74.9        75.25       19       41       60    49.4211
       75.25         75.6       27       31       49         36
        75.6        75.95       32       31       49    36.4062
       75.95         76.3       33       31       89    48.6061
        76.3        76.65       35       31       65    50.6857
       76.65           77       36       31       55    43.6389
          77        77.35       38       42       61    50.5263
       77.35         77.7       25       24       77      38.68
        77.7        78.05       36       31       49    37.2778
       78.05         78.4       40       31       40     35.525
        78.4        78.75       39       31       40    35.3846
       78.75         79.1       40       30       40       35.3
        79.1        79.45       37       24       81    38.2973
       79.45         79.8       40       30       39       34.5
        79.8        80.15       34       30      106    49.6176
       80.15         80.5       19       39      115    68.2632
        80.5        80.85       20       47       81       66.6
       80.85         81.2       14       64      173         95
        81.2        81.55        9       62      179    79.4444
       81.55         81.9        8       99      142    119.375
        81.9        82.25       14       62      179    108.071
       82.25         82.6       17       62       83    71.8824
        82.6        82.95       17       62       83    73.1176
       82.95         83.3        7       62      200    98.8571
        83.3        83.65        5       62      299      224.8
       83.65           84        7       62      182    117.429
          84        84.35       22       30      179    49.1364
       84.35         84.7       21       43       51    46.8095
        84.7        85.05       22       30       65    47.0455
       85.05         85.4       24       31       67       45.5
        85.4        85.75       20       40       67       49.9
       85.75         86.1       19       31       89    56.6316
        86.1        86.45       15       33       91    56.0667
       86.45         86.8       16       33       80     46.625
        86.8        87.15       14       43       91    65.1429
       87.15         87.5       20       32      122      63.85
        87.5        87.85       22       38       77    50.9091
       87.85         88.2       20       45       67         52
        88.2        88.55       22       30       54    46.7273
       88.55         88.9       22       30       54    43.8636
