    WinStart       WinEnd Samples_Number      Min      Max       Mean
       64.75         65.1        0        0        0          0
        65.1        65.45        0        0        0          0
       65.45         65.8        0        0        0          0
        65.8        66.15        0        0        0          0
       66.15         66.5        0        0        0          0
        66.5        66.85        0        0        0          0
       66.85         67.2        0        0        0          0
        67.2        67.55        0        0        0          0
       67.55         67.9        0        0        0          0
        67.9        68.25        0        0        0          0
       68.25         68.6        0        0        0          0
        68.6        68.95        0        0        0          0
       68.95         69.3        0        0        0          0
        69.3        69.65        0        0        0          0
       69.65           70        0        0        0          0
          70        70.35        2       47       55         51
       70.35         70.7       37       39      133    75.3243
        70.7        71.05       19       30      105    65.4211
       71.05         71.4       11       57      148    109.545
        71.4        71.75        9       57      109    67.1111
       71.75         72.1       15       47       89    68.4667
        72.1        72.45       16       46       90    64.5625
       72.45         72.8       14       34       79    47.7143
        72.8        73.15       18       34       72       48.5
       73.15         73.5       19       49       84    62.8421
        73.5        73.85        5       49       95       71.6
       73.85         74.2        0        0        0          0
        74.2        74.55        0        0        0          0
       74.55         74.9        2       47       50       48.5
        74.9        75.25       13       41       77    55.7692
       75.25         75.6       17       32       95    58.4706
        75.6        75.95       19       41       68    55.2105
       75.95         76.3       18       31      108    68.2222
        76.3        76.65       12       46       75    57.9167
       76.65           77       19       36       75    51.8421
          77        77.35       12       33       45      38.25
       77.35         77.7        0        0        0          0
        77.7        78.05        0        0        0          0
       78.05         78.4        0        0        0          0
        78.4        78.75        0        0        0          0
       78.75         79.1        0        0        0          0
        79.1        79.45        0        0        0          0
       79.45         79.8        0        0        0          0
        79.8        80.15        0        0        0          0
       80.15         80.5        0        0        0          0
        80.5        80.85        0        0        0          0
       80.85         81.2        0        0        0          0
        81.2        81.55        0        0        0          0
       81.55         81.9        0        0        0          0
        81.9        82.25        0        0        0          0
       82.25         82.6        0        0        0          0
        82.6        82.95        5       71      176      115.4
       82.95         83.3        5      146      241      188.4
        83.3        83.65        6       62      142    88.1667
       83.65           84        6      139      179    152.333
          84        84.35       13       30      187    50.6154
       84.35         84.7       17       30       67    41.7647
        84.7        85.05        4       43       51       46.5
       85.05         85.4        0        0        0          0
        85.4        85.75        0        0        0          0
       85.75         86.1        0        0        0          0
        86.1        86.45        0        0        0          0
       86.45         86.8        0        0        0          0
        86.8        87.15        0        0        0          0
       87.15         87.5        0        0        0          0
        87.5        87.85        0        0        0          0
       87.85         88.2        0        0        0          0
        88.2        88.55        0        0        0          0
       88.55         88.9        0        0        0          0
        88.9        89.25        0        0        0          0
       89.25         89.6        0        0        0          0
        89.6        89.95        0        0        0          0
       89.95         90.3        0        0        0          0
        90.3        90.65        0        0        0          0
       90.65           91       10       43      100       67.7
          91        91.35       18       34      134    91.8333
       91.35         91.7       14       34       89         67
        91.7        92.05       12       33       55      42.75
       92.05         92.4        8       56      173     98.875
