    WinStart       WinEnd Samples_Number      Min      Max       Mean
        61.6        61.95       33       32       47    36.0606
       61.95         62.3       21       39       89    61.5238
        62.3        62.65        7       31       71    43.1429
       62.65           63       20       31       71      48.05
          63        63.35       16       40      100         61
       63.35         63.7       13       34      100    68.1538
        63.7        64.05       17       39      116    55.4118
       64.05         64.4       10       57      105       83.3
        64.4        64.75       10       57      105       68.2
       64.75         65.1       11       73      105    88.9091
        65.1        65.45       12       72      104         88
       65.45         65.8       11       72      104    86.5455
        65.8        66.15       12       49      104    79.6667
       66.15         66.5       15       49       73       61.8
        66.5        66.85       15       49       73       60.2
       66.85         67.2       19       37       73    48.1053
        67.2        67.55       15       48       95       65.8
       67.55         67.9       14       33       71       56.5
        67.9        68.25       17       43       83         55
       68.25         68.6       19       32       82    60.2105
        68.6        68.95       17       58       78    68.5882
       68.95         69.3       19       54       78    64.3684
        69.3        69.65       18       54       73       63.5
       69.65           70       19       54       73         64
          70        70.35       20       48       71       57.4
       70.35         70.7       17       40      109    60.8235
        70.7        71.05       20       48       91       59.1
       71.05         71.4       11       35      109    80.6364
        71.4        71.75       12       35       74    53.1667
       71.75         72.1       12       57      137    85.1667
        72.1        72.45       14       33       68    49.9286
       72.45         72.8       15       33       79       49.2
        72.8        73.15       16       33       80    56.9375
       73.15         73.5       14       49       72       60.5
        73.5        73.85       15       49       72    59.7333
       73.85         74.2       17       40       72    56.4118
        74.2        74.55       17       50       60    54.7059
       74.55         74.9       17       50       60    55.2941
        74.9        75.25       19       38       60    48.6316
       75.25         75.6        0        0        0          0
        75.6        75.95        0        0        0          0
       75.95         76.3        0        0        0          0
        76.3        76.65        0        0        0          0
       76.65           77        0        0        0          0
          77        77.35        0        0        0          0
       77.35         77.7        0        0        0          0
        77.7        78.05        0        0        0          0
       78.05         78.4        0        0        0          0
        78.4        78.75        0        0        0          0
       78.75         79.1        0        0        0          0
        79.1        79.45        0        0        0          0
       79.45         79.8        0        0        0          0
        79.8        80.15        0        0        0          0
       80.15         80.5        0        0        0          0
        80.5        80.85        0        0        0          0
       80.85         81.2        0        0        0          0
        81.2        81.55        0        0        0          0
       81.55         81.9        0        0        0          0
        81.9        82.25        0        0        0          0
       82.25         82.6        0        0        0          0
        82.6        82.95        0        0        0          0
       82.95         83.3        3      131      251    184.333
        83.3        83.65        5       62      331      170.8
       83.65           84        2      102      139      120.5
          84        84.35       12       35      107    51.4167
       84.35         84.7       22       35       67    44.8182
        84.7        85.05       20       30      103      58.85
       85.05         85.4       16       31       67    50.3125
        85.4        85.75       19       31       67    47.5789
       85.75         86.1       18       31      127    63.1667
        86.1        86.45       11       33       91         65
       86.45         86.8       13       33       69    47.8462
        86.8        87.15       18       32       91    63.2222
       87.15         87.5       16       43      143     71.875
        87.5        87.85       13       38       77         58
       87.85         88.2       19       37       77    52.5263
        88.2        88.55       19       32       74    57.4737
       88.55         88.9       19       30      107    56.4211
        88.9        89.25       14       30       98    56.6429
       89.25         89.6       14       35      111    66.2143
        89.6        89.95       11       45       85    63.6364
       89.95         90.3       16       45       83     54.375
        90.3        90.65       19       31       64    47.9474
       90.65           91       19       45       54    49.7368
