Time	VideoShare	AudioShare	VideoMbps	AudioMbps
3	0.553786	0.446214	1.70486	1.3737
4	0.4873	0.5127	1.27188	1.33818
5	0.465527	0.534473	1.404	1.61194
6	0.447572	0.552428	1.47989	1.82659
7	1	0	1.716	0
8	1	0	2.5427	0
9	1	0	4.69975	0
10	1	0	2.89523	0
11	1	0	3.144	0
12	1	0	3.36794	0
13	1	0	3.636	0
14	0.72355	0.27645	3.35474	1.28176
15	0.803017	0.196983	3.156	0.774176
16	1	0	3.09244	0
17	1	0	2.868	0
18	1	0	2.844	0
19	0.624762	0.375238	1.992	1.19642
20	0.512952	0.487048	1.308	1.24194
21	1	0	1.2301	0
22	1	0	0.816	0
23	1	0	2.184	0
24	1	0	1.992	0
25	0.563492	0.436508	0.852	0.66
26	0.544554	0.455446	0.66	0.552
27	0.535346	0.464654	0.672	0.583264
28	0.555556	0.444444	0.6	0.48
29	0.424581	0.575419	0.912	1.236
30	0.921345	0.0786547	0.888	0.075808
31	1	0	1.14	0
32	1	0	1.092	0
33	1	0	0.996	0
34	1	0	1.53022	0
35	1	0	1.008	0
36	0.521629	0.478371	1.44463	1.32483
37	0.860208	0.139792	1.02	0.16576
38	1	0	1.06409	0
39	1	0	1.93823	0
40	1	0	2.16776	0
41	1	0	2.124	0
42	1	0	2.5259	0
43	1	0	1.776	0
44	0.958286	0.0417144	1.65402	0.072
45	0.499663	0.500337	1.92	1.92259
46	1	0	2.604	0
47	1	0	2.62055	0
48	1	0	2.652	0
49	1	0	3.38569	0
50	0.796743	0.203257	5.28375	1.34794
51	1	0	9.64086	0
52	1	0	13.1772	0
53	1	0	10.3151	0
54	1	0	3.49466	0
57	0	1	0	0.24
58	0	1	0	0.59552
59	0	1	0	0.336
60	0	1	0	0.532832
61	0	1	0	0.66
62	0	1	0	0.678176
63	1	0	1.404	0
64	1	0	1.56	0
65	1	0	0.768	0
66	1	0	1.14	0
67	1	0	1.68	0
68	1	0	1.008	0
69	1	0	1.884	0
70	1	0	1.6751	0
71	0.565315	0.434685	1.0271	0.78976
72	0.567568	0.432432	0.504	0.384
73	0.584951	0.415049	0.756	0.536416
74	0.714197	0.285803	0.924	0.36976
75	0.965217	0.0347826	1.332	0.048
76	0.539168	0.460832	0.768	0.656416
77	0.656716	0.343284	1.056	0.552
78	0.939354	0.060646	1.824	0.11776
79	1	0	1.188	0
80	1	0	1.50113	0
81	1	0	0.732	0
82	1	0	0.316224	0
83	0.773585	0.226415	0.492	0.144
84	0.444444	0.555556	0.144	0.18
85	0.699163	0.300837	0.912	0.392416
86	1	0	1.1323	0
87	1	0	1.08	0
88	1	0	1.16539	0
89	1	0	1.392	0
90	1	0	0.909496	0
91	0.843137	0.156863	1.032	0.192
92	0.5	0.5	0.504	0.504
93	0.539554	0.460446	0.334856	0.28576
94	0.645833	0.354167	0.744	0.408
95	0.61587	0.38413	0.456	0.284416
96	0.546614	0.453386	0.576	0.47776
97	0.471431	0.528569	0.503032	0.564
98	0.961792	0.0382077	0.816	0.032416
99	1	0	0.864	0
100	1	0	0.868664	0
101	1	0	1.152	0
102	1	0	1.30719	0
103	0.55814	0.44186	0.576	0.456
104	0.668558	0.331442	0.528	0.26176
105	1	0	0.304072	0
106	0.596491	0.403509	0.408	0.276
107	0.582394	0.417606	0.564	0.404416
108	1	0	0.864	0
109	1	0	0.867456	0
110	0.463415	0.536585	0.228	0.264
111	0.281049	0.718951	0.168	0.42976
112	1	0	1.308	0
113	1	0	0.629808	0
114	1	0	1.092	0
115	1	0	0.528	0
116	1	0	1.54112	0
117	1	0	1.02	0
118	1	0	1.056	0
119	0.582512	0.417488	0.966112	0.692416
120	1	0	1.032	0
121	1	0	0.923368	0
122	1	0	1.368	0
123	0.66577	0.33423	1.00394	0.504
124	0.631814	0.368186	0.408	0.23776
125	1	0	0.576	0
126	1	0	0.312	0
127	1	0	0.456	0
128	1	0	0.905776	0
129	0.60488	0.39512	1.128	0.736832
130	0.875	0.125	0.084	0.012
131	0.666667	0.333333	0.648	0.324
132	0.697475	0.302525	0.797152	0.34576
133	1	0	1.272	0
134	1	0	1.06334	0
135	1	0	1.488	0
136	0.742525	0.257475	0.934376	0.324
137	0.737357	0.262643	1.068	0.380416
138	1	0	1.02109	0
139	0.445652	0.554348	0.492	0.612
140	0.909815	0.090185	1.188	0.11776
141	0.850126	0.149874	0.884872	0.156
142	0.493339	0.506661	0.756	0.776416
143	0.47574	0.52426	0.684	0.75376
144	0.504034	0.495966	0.520752	0.512416
145	0.466667	0.533333	0.168	0.192
146	0.520833	0.479167	0.3	0.276
147	0.416474	0.583526	0.144	0.20176
148	0.542772	0.457228	0.708	0.596416
149	0.610169	0.389831	0.432	0.276
